video_id,title,channel_title,category_name,region,published_at,view_count,like_count,comment_count,subscriber_count,video_count,engagement_rate,views_per_subscriber,avg_views_per_video
vrY1THC_NQE,IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed,Gaming,US,2026-06-01T15:00:06Z,34635390,2609440,154135,54800000,1875,0.07979049752290937,0.6320326642335766,4564484.8544
SzJXikN_4wA,"I Knew It, I Knew You",Taylor Swift - Topic,Music,US,2026-06-05T04:00:37Z,4110270,166975,8542,719000,2122,0.042702060935169706,5.716648122392211,4575313.915645617
82-jTNka3uc,Ariana Grande - hate that i made you love me (official music video),ArianaGrandeVevo,Music,US,2026-06-01T15:00:06Z,15270165,898805,40469,17400000,234,0.061510402801803386,0.8775956896551724,105796556.45299146
mSlpFhEPkgc,Cartel de Santa - Sapo (Video Oficial) | @elcarteldesantatv,elcarteldesantatv,Music,US,2026-06-07T05:32:14Z,2299320,173164,18118,14100000,407,0.08319068246264112,0.16307234042553193,27450191.921375923
pPy4qcgjdmY,Rylo Rodriguez - Bruddas,RyloRodriguezVEVO,Music,US,2026-06-05T04:00:13Z,639514,30066,1475,258,3,0.04932026507629231,2478.736434108527,4567521.666666667
fcnDmrtj6Sk,"Shakira, Burna Boy - Dai Dai (Official Video)",shakiraVEVO,Music,US,2026-05-23T16:14:03Z,102665444,2665306,142324,18300000,232,0.027347371136874448,5.610133551912568,138283195.91810346
gE-rcACBTZU,"Calle 24, Fuerza Regida - Noche Perfecta (Official)",Calle24VEVO,Music,US,2026-06-04T00:00:32Z,3738455,28995,346,817,1,0.007848429364536955,4575.832313341493,4467984.0
A__GXZsG3hk,Tems - What You Need (Official Video),TemsVEVO,Music,US,2026-06-03T16:00:19Z,1219466,65395,3757,8470,41,0.05670678805313145,143.97473435655255,7708657.902439024
PH9_dmcGM3E,"French Montana, Max B & Remy Ma - Ever Since U Left Me (Big Bronx Remix) | From The Block 🎙",4 Shooters Only™,Music,US,2026-06-05T16:02:07Z,658812,32823,3000,1430000,3689,0.05437514799366132,0.4607076923076923,162087.69910544864
qsKSfCCxrnk,RUBBERZ,Release - Topic,Music,US,2026-06-04T10:04:22Z,364151,15890,0,208,1,0.043635744512578574,1750.7259615384614,313013.0
yYiOKWX9Q1w,G Herbo   Thug (Official Video),G Herbo,Music,US,2026-06-04T22:30:15Z,404835,21371,1127,2020000,391,0.05557325824101177,0.20041336633663367,4316685.163682864
C_OiWCF4zE0,NoCap - Leverage [Official Music Video],NoCap,Music,US,2026-06-05T21:00:02Z,364483,21011,767,1440000,200,0.05975038616341503,0.25311319444444447,6949741.78
bJGhnBIahAw,NAMELESS,Lil Zay Osama - Topic,Music,US,2026-06-02T10:04:34Z,626829,17885,846,3480,305,0.029882152867847532,180.12327586206897,238798.83606557376
yJtckcMHM2g,"Madonna - ""Confessions II - The Film""",Madonna,Music,US,2026-06-08T15:00:06Z,963466,93317,11111,8170000,403,0.10838784139762067,0.11792729498164015,21493359.066997517
FTy0jOHRZ_c,YAILIN LA MAS VIRAL X JEY ONE X ALOFOKE MUSIC - VAI,AlofokeMusicSounds,Music,US,2026-06-02T20:38:07Z,1972265,112181,10075,1010000,31,0.06198761322641734,1.9527376237623761,9320566.64516129
Zv6JKobJyFY,BTS (방탄소년단) 'Hooligan' Official Performance Video,HYBE LABELS,Music,US,2026-06-04T15:00:01Z,5239708,713095,26246,81400000,3297,0.14110347370502327,0.06436987714987714,13983349.802244464
naoGk-Zjc1s,BABYMONSTER - 'SUGAR HONEY ICE TEA' M/V,BABYMONSTER,Music,US,2026-06-07T15:00:06Z,17672979,779817,72377,12200000,908,0.04822016706973963,1.4486048360655737,9637712.275330396
166IwIe7ke8,Blin blin- Dany Ome y Kevincito El 13 ft Ovi X  Jhonaxx Moreno   (Video Oficial),Dany Ome & Kevincito El 13 ,Music,US,2026-06-01T19:00:06Z,951035,26866,1220,465000,92,0.029532036150089112,2.0452365591397847,4562343.3369565215
u61fUWCKAG4,Mom Friend (Ft. Amanda Hufford & Lizzie Freeman)【THE AMAZING DIGITAL CIRCUS FAN MUSIC VIDEO】,KittenSneeze,Music,US,2026-06-06T20:00:06Z,1052113,73360,4468,1220000,341,0.07397304281954505,0.8623877049180327,1113189.1231671553
NnxPNOpXJ40,ME VALE V - Tito Double P (Video Oficial),Tito Double P,Music,US,2026-05-29T00:00:06Z,4539445,64575,2102,3390000,146,0.0146883594800686,1.3390693215339233,40308507.75342466
xCkf2L7gFnI,"Jay Wheeler, Omar Courtz - De Lejitos (Remix) (Video Oficial)",JayWheelerVEVO,Music,US,2026-05-30T02:14:56Z,6794322,159111,2997,5400,83,0.023859334308853775,1258.2077777777777,10026593.43373494
SD4yRDY9mek,Drake - Janice STFU,DrakeVEVO,Music,US,2026-05-15T09:07:39Z,23731743,370814,28728,8990000,171,0.016835762969454035,2.6397934371523917,71063763.94152047
YzypzhnSbG0,Loyalty Cost Me More | Official Music Video |Butter Knife Shawty,Butter knife shawty,Music,US,2026-05-27T21:00:06Z,709754,23351,757,37000,419,0.03396669832082665,19.18254054054054,29557.29355608592
wtA_NBaxwDQ,Romeo Santos - Imitadora (Letra/Lyrics),c r x s ;,Music,US,2026-06-02T23:30:33Z,2906086,3814,19,227000,354,0.001318956149267434,12.802140969162995,439351.2429378531
83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,Music,US,2026-05-29T04:00:16Z,22204943,688048,38180,33700000,4704,0.032705690800467264,0.6589003857566765,7160568.995535715
dPM4UIz7K3g,Los Ángeles Azules - Me Haces Falta Tú (Visualizer),LosAngelesAzulesVEVO,Music,US,2026-05-29T04:00:21Z,1171808,4557,15,1630000,148,0.0039016630710833173,0.7189006134969325,98226354.91216215
LJTZXZWxEAY,Olivia Rodrigo - the cure in the Live Lounge,BBCRadio1VEVO,Music,US,2026-06-02T15:00:07Z,1457681,87528,2170,3430000,893,0.061534725361721804,0.4249798833819242,2333958.0
